Time,S_0,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17,S_18,S_19,S_20,S_21,S_22,S_23,Total
2026-01-31 19:33:13,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,792.2,874.53,1143.56,875.12,1063.15,1008.68,1002.97,973.38,1000.0,1000.0,1000.0,1000.0,23733.58
2026-01-31 19:52:50,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,781.29,877.44,1143.85,871.2,1057.76,1006.86,992.88,966.28,1000.0,1000.0,1000.0,1000.0,23697.57
2026-01-31 20:20:52,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,781.32,859.04,1142.98,866.41,1061.38,1010.92,1011.24,992.47,1000.0,1000.0,1000.0,1000.0,23725.76
2026-01-31 20:48:42,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,733.34,805.45,1119.43,811.23,1021.49,969.79,976.54,966.88,976.44,1000.0,1000.0,1000.0,23380.57
2026-01-31 21:18:23,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,727.1,804.03,1081.32,813.65,998.76,947.65,988.93,977.14,984.51,1000.0,1000.0,1000.0,23323.08
2026-01-31 21:44:36,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,671.27,728.71,1048.5,723.37,947.73,890.55,944.92,935.18,941.29,966.41,1000.0,1000.0,22797.93
2026-01-31 21:56:18,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,622.6,688.54,1031.73,670.73,904.18,848.55,915.76,905.69,915.18,939.9,1000.0,1000.0,22442.86
2026-01-31 22:19:43,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,586.78,622.52,999.09,638.78,866.72,811.25,889.22,880.69,891.75,917.58,1000.0,1000.0,22104.37
2026-01-31 22:48:46,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,525.59,552.52,942.53,580.03,793.79,734.24,831.6,822.58,831.39,862.22,912.35,1000.0,21388.82
2026-01-31 23:19:09,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,490.01,484.54,860.63,483.26,720.57,660.7,752.55,745.69,753.06,776.91,807.95,1000.0,20535.88
